timestamp,Monthly U.S. female (20 years and over) unemployment figures (10**3) 1948-1981,assetno
-273628800000,1370,1
-270950400000,1486,1
-268358400000,1451,1
-265680000000,1309,1
-263001600000,1316,1
-260409600000,1319,1
-257731200000,1233,1
-255139200000,1113,1
-252460800000,1363,1
-249782400000,1245,1
-247363200000,1205,1
-244684800000,1084,1
-242092800000,1048,1
-239414400000,1131,1
-236822400000,1138,1
-234144000000,1271,1
-231465600000,1244,1
-228873600000,1139,1
-226195200000,1205,1
-223603200000,1030,1
-220924800000,1300,1
-218246400000,1319,1
-215827200000,1198,1
-213148800000,1147,1
-210556800000,1140,1
-207878400000,1216,1
-205286400000,1200,1
-202608000000,1271,1
-199929600000,1254,1
-197337600000,1203,1
-194659200000,1272,1
-192067200000,1073,1
-189388800000,1375,1
-186710400000,1400,1
-184204800000,1322,1
-181526400000,1214,1
-178934400000,1096,1
-176256000000,1198,1
-173664000000,1132,1
-170985600000,1193,1
-168307200000,1163,1
-165715200000,1120,1
-163036800000,1164,1
-160444800000,966,1
-157766400000,1154,1
-155088000000,1306,1
-152668800000,1123,1
-149990400000,1033,1
-147398400000,940,1
-144720000000,1151,1
-142128000000,1013,1
-139449600000,1105,1
-136771200000,1011,1
-134179200000,963,1
-131500800000,1040,1
-128908800000,838,1
-126230400000,1012,1
-123552000000,963,1
-121132800000,888,1
-118454400000,840,1
-115862400000,880,1
-113184000000,939,1
-110592000000,868,1
-107913600000,1001,1
-105235200000,956,1
-102643200000,966,1
-99964800000,896,1
-97372800000,843,1
-94694400000,1180,1
-92016000000,1103,1
-89596800000,1044,1
-86918400000,972,1
-84326400000,897,1
-81648000000,1103,1
-79056000000,1056,1
-76377600000,1055,1
-73699200000,1287,1
-71107200000,1231,1
-68428800000,1076,1
-65836800000,929,1
-63158400000,1105,1
-60480000000,1127,1
-57974400000,988,1
-55296000000,903,1
-52704000000,845,1
-50025600000,1020,1
-47433600000,994,1
-44755200000,1036,1
-42076800000,1050,1
-39484800000,977,1
-36806400000,956,1
-34214400000,818,1
-31536000000,1031,1
-28857600000,1061,1
-26438400000,964,1
-23760000000,967,1
-21168000000,867,1
-18489600000,1058,1
-15897600000,987,1
-13219200000,1119,1
-10540800000,1202,1
-7948800000,1097,1
-5270400000,994,1
-2678400000,840,1
0,1086,1
2678400000,1238,1
5097600000,1264,1
7776000000,1171,1
10368000000,1206,1
13046400000,1303,1
15638400000,1393,1
18316800000,1463,1
20995200000,1601,1
23587200000,1495,1
26265600000,1561,1
28857600000,1404,1
31536000000,1705,1
34214400000,1739,1
36633600000,1667,1
39312000000,1599,1
41904000000,1516,1
44582400000,1625,1
47174400000,1629,1
49852800000,1809,1
52531200000,1831,1
55123200000,1665,1
57801600000,1659,1
60393600000,1457,1
63072000000,1707,1
65750400000,1607,1
68256000000,1616,1
70934400000,1522,1
73526400000,1585,1
76204800000,1657,1
78796800000,1717,1
81475200000,1789,1
84153600000,1814,1
86745600000,1698,1
89424000000,1481,1
92016000000,1330,1
94694400000,1646,1
97372800000,1596,1
99792000000,1496,1
102470400000,1386,1
105062400000,1302,1
107740800000,1524,1
110332800000,1547,1
113011200000,1632,1
115689600000,1668,1
118281600000,1421,1
120960000000,1475,1
123552000000,1396,1
126230400000,1706,1
128908800000,1715,1
131328000000,1586,1
134006400000,1477,1
136598400000,1500,1
139276800000,1648,1
141868800000,1745,1
144547200000,1856,1
147225600000,2067,1
149817600000,1856,1
152496000000,2104,1
155088000000,2061,1
157766400000,2809,1
160444800000,2783,1
162864000000,2748,1
165542400000,2642,1
168134400000,2628,1
170812800000,2714,1
173404800000,2699,1
176083200000,2776,1
178761600000,2795,1
181353600000,2673,1
184032000000,2558,1
186624000000,2394,1
189302400000,2784,1
191980800000,2751,1
194486400000,2521,1
197164800000,2372,1
199756800000,2202,1
202435200000,2469,1
205027200000,2686,1
207705600000,2815,1
210384000000,2831,1
212976000000,2661,1
215654400000,2590,1
218246400000,2383,1
220924800000,2670,1
223603200000,2771,1
226022400000,2628,1
228700800000,2381,1
231292800000,2224,1
233971200000,2556,1
236563200000,2512,1
239241600000,2690,1
241920000000,2726,1
244512000000,2493,1
247190400000,2544,1
249782400000,2232,1
252460800000,2494,1
255139200000,2315,1
257558400000,2217,1
260236800000,2100,1
262828800000,2116,1
265507200000,2319,1
268099200000,2491,1
270777600000,2432,1
273456000000,2470,1
276048000000,2191,1
278726400000,2241,1
281318400000,2117,1
283996800000,2370,1
286675200000,2392,1
289094400000,2255,1
291772800000,2077,1
294364800000,2047,1
297043200000,2255,1
299635200000,2233,1
302313600000,2539,1
304992000000,2394,1
307584000000,2341,1
310262400000,2231,1
312854400000,2171,1
315532800000,2487,1
318211200000,2449,1
320716800000,2300,1
323395200000,2387,1
325987200000,2474,1
328665600000,2667,1
331257600000,2791,1
333936000000,2904,1
336614400000,2737,1
339206400000,2849,1
341884800000,2723,1
344476800000,2613,1
347155200000,2950,1
349833600000,2825,1
352252800000,2717,1
354931200000,2593,1
357523200000,2703,1
360201600000,2836,1
362793600000,2938,1
365472000000,2975,1
368150400000,3064,1
370742400000,3092,1
373420800000,3063,1
376012800000,2991,1
