timestamp,"Mean monthly temperature, 1907 ? 1972",assetno
-1472860800000,59.8,A1
-1470182400000,62.8,A1
-1467590400000,78.4,A1
-1464912000000,73.3,A1
-1462233600000,65.2,A1
-1459641600000,50.2,A1
-1456963200000,44.9,A1
-1454371200000,31.0,A1
-1451692800000,24.8,A1
-1449014400000,44.6,A1
-1446508800000,39.4,A1
-1443830400000,52.1,A1
-1441238400000,65.7,A1
-1438560000000,69.8,A1
-1435968000000,77.4,A1
-1433289600000,72.4,A1
-1430611200000,66.6,A1
-1428019200000,57.0,A1
-1425340800000,40.8,A1
-1422748800000,26.6,A1
-1420070400000,32.2,A1
-1417392000000,37.6,A1
-1414972800000,41.6,A1
-1412294400000,52.4,A1
-1409702400000,63.4,A1
-1407024000000,69.3,A1
-1404432000000,77.1,A1
-1401753600000,72.2,A1
-1399075200000,65.2,A1
-1396483200000,52.8,A1
-1393804800000,40.0,A1
-1391212800000,33.6,A1
-1388534400000,33.0,A1
-1385856000000,45.9,A1
-1383436800000,47.1,A1
-1380758400000,53.6,A1
-1378166400000,62.2,A1
-1375488000000,74.4,A1
-1372896000000,76.6,A1
-1370217600000,75.4,A1
-1367539200000,62.3,A1
-1364947200000,55.2,A1
-1362268800000,48.0,A1
-1359676800000,32.4,A1
-1356998400000,36.3,A1
-1354320000000,38.8,A1
-1351900800000,40.7,A1
-1349222400000,49.2,A1
-1346630400000,65.4,A1
-1343952000000,70.8,A1
-1341360000000,78.6,A1
-1338681600000,74.4,A1
-1336003200000,60.5,A1
-1333411200000,53.9,A1
-1330732800000,47.6,A1
-1328140800000,31.6,A1
-1325462400000,33.0,A1
-1322784000000,37.0,A1
-1320278400000,48.5,A1
-1317600000000,50.5,A1
-1315008000000,63.5,A1
-1312329600000,70.9,A1
-1309737600000,78.6,A1
-1307059200000,74.0,A1
-1304380800000,64.4,A1
-1301788800000,48.4,A1
-1299110400000,40.9,A1
-1296518400000,28.0,A1
-1293840000000,30.6,A1
-1291161600000,33.0,A1
-1288742400000,45.7,A1
-1286064000000,46.8,A1
-1283472000000,54.5,A1
-1280793600000,68.4,A1
-1278201600000,79.6,A1
-1275523200000,76.9,A1
-1272844800000,64.9,A1
-1270252800000,54.8,A1
-1267574400000,38.1,A1
-1264982400000,41.4,A1
-1262304000000,28.0,A1
-1259625600000,44.3,A1
-1257206400000,44.9,A1
-1254528000000,50.6,A1
-1251936000000,52.1,A1
-1249257600000,73.0,A1
-1246665600000,77.6,A1
-1243987200000,76.8,A1
-1241308800000,66.4,A1
-1238716800000,49.5,A1
-1236038400000,37.9,A1
-1233446400000,27.4,A1
-1230768000000,34.5,A1
-1228089600000,39.9,A1
-1225670400000,39.8,A1
-1222992000000,53.4,A1
-1220400000000,63.6,A1
-1217721600000,71.0,A1
-1215129600000,82.4,A1
-1212451200000,77.1,A1
-1209772800000,61.4,A1
-1207180800000,54.6,A1
-1204502400000,35.4,A1
-1201910400000,25.6,A1
-1199232000000,29.6,A1
-1196553600000,32.5,A1
-1194048000000,44.9,A1
-1191369600000,49.2,A1
-1188777600000,59.4,A1
-1186099200000,70.4,A1
-1183507200000,77.3,A1
-1180828800000,73.8,A1
-1178150400000,66.5,A1
-1175558400000,51.9,A1
-1172880000000,45.6,A1
-1170288000000,26.6,A1
-1167609600000,24.4,A1
-1164931200000,19.3,A1
-1162512000000,44.0,A1
-1159833600000,49.0,A1
-1157241600000,51.8,A1
-1154563200000,69.2,A1
-1151971200000,81.2,A1
-1149292800000,75.8,A1
-1146614400000,65.1,A1
-1144022400000,57.2,A1
-1141344000000,40.8,A1
-1138752000000,36.4,A1
-1136073600000,37.4,A1
-1133395200000,42.4,A1
-1130976000000,51.8,A1
-1128297600000,55.4,A1
-1125705600000,65.0,A1
-1123027200000,65.2,A1
-1120435200000,78.2,A1
-1117756800000,77.5,A1
-1115078400000,66.7,A1
-1112486400000,60.5,A1
-1109808000000,43.4,A1
-1107216000000,33.5,A1
-1104537600000,32.5,A1
-1101859200000,39.8,A1
-1099440000000,39.7,A1
-1096761600000,48.0,A1
-1094169600000,57.6,A1
-1091491200000,69.2,A1
-1088899200000,75.2,A1
-1086220800000,76.2,A1
-1083542400000,69.8,A1
-1080950400000,51.0,A1
-1078272000000,36.1,A1
-1075680000000,32.0,A1
-1073001600000,33.4,A1
-1070323200000,37.0,A1
-1067817600000,44.2,A1
-1065139200000,54.4,A1
-1062547200000,61.1,A1
-1059868800000,79.0,A1
-1057276800000,79.0,A1
-1054598400000,75.1,A1
-1051920000000,62.4,A1
-1049328000000,50.1,A1
-1046649600000,39.3,A1
-1044057600000,30.5,A1
-1041379200000,11.2,A1
-1038700800000,32.6,A1
-1036281600000,41.9,A1
-1033603200000,48.2,A1
-1031011200000,62.8,A1
-1028332800000,67.6,A1
-1025740800000,78.8,A1
-1023062400000,77.8,A1
-1020384000000,68.6,A1
-1017792000000,54.2,A1
-1015113600000,45.8,A1
-1012521600000,36.5,A1
-1009843200000,36.9,A1
-1007164800000,35.8,A1
-1004745600000,39.6,A1
-1002067200000,50.2,A1
-999475200000,55.8,A1
-996796800000,68.9,A1
-994204800000,76.8,A1
-991526400000,74.2,A1
-988848000000,67.2,A1
-986256000000,51.0,A1
-983577600000,35.1,A1
-980985600000,35.2,A1
-978307200000,32.0,A1
-975628800000,30.5,A1
-973209600000,44.4,A1
-970531200000,54.6,A1
-967939200000,61.0,A1
-965260800000,68.8,A1
-962668800000,77.0,A1
-959990400000,76.4,A1
-957312000000,65.0,A1
-954720000000,51.8,A1
-952041600000,42.6,A1
-949449600000,39.0,A1
-946771200000,35.2,A1
-944092800000,39.1,A1
-941587200000,45.8,A1
-938908800000,52.8,A1
-936316800000,65.2,A1
-933638400000,74.8,A1
-931046400000,78.1,A1
-928368000000,78.2,A1
-925689600000,63.4,A1
-923097600000,55.0,A1
-920419200000,38.6,A1
-917827200000,35.0,A1
-915148800000,36.3,A1
-912470400000,37.3,A1
-910051200000,45.4,A1
-907372800000,46.7,A1
-904780800000,63.0,A1
-902102400000,68.4,A1
-899510400000,71.8,A1
-896832000000,72.2,A1
-894153600000,61.2,A1
-891561600000,49.7,A1
-888883200000,45.1,A1
-886291200000,35.6,A1
-883612800000,36.8,A1
-880934400000,33.6,A1
-878515200000,41.0,A1
-875836800000,48.1,A1
-873244800000,55.4,A1
-870566400000,68.6,A1
-867974400000,81.5,A1
-865296000000,78.2,A1
-862617600000,65.2,A1
-860025600000,56.9,A1
-857347200000,43.2,A1
-854755200000,37.4,A1
-852076800000,34.6,A1
-849398400000,39.7,A1
-846979200000,47.7,A1
-844300800000,59.0,A1
-841708800000,62.4,A1
-839030400000,66.6,A1
-836438400000,79.2,A1
-833760000000,75.2,A1
-831081600000,69.6,A1
-828489600000,56.6,A1
-825811200000,42.9,A1
-823219200000,37.2,A1
-820540800000,30.6,A1
-817862400000,36.0,A1
-815356800000,42.8,A1
-812678400000,51.2,A1
-810086400000,62.0,A1
-807408000000,65.0,A1
-804816000000,77.1,A1
-802137600000,75.6,A1
-799459200000,67.2,A1
-796867200000,55.9,A1
-794188800000,39.8,A1
-791596800000,34.2,A1
-788918400000,35.0,A1
-786240000000,37.2,A1
-783820800000,41.9,A1
-781142400000,52.6,A1
-778550400000,62.2,A1
-775872000000,68.6,A1
-773280000000,81.4,A1
-770601600000,76.0,A1
-767923200000,66.7,A1
-765331200000,59.2,A1
-762652800000,44.8,A1
-760060800000,34.8,A1
-757382400000,34.2,A1
-754704000000,37.4,A1
-752284800000,40.2,A1
-749606400000,54.8,A1
-747014400000,60.2,A1
-744336000000,71.8,A1
-741744000000,78.3,A1
-739065600000,76.8,A1
-736387200000,64.8,A1
-733795200000,48.5,A1
-731116800000,38.4,A1
-728524800000,37.2,A1
-725846400000,30.7,A1
-723168000000,42.7,A1
-720748800000,46.8,A1
-718070400000,51.0,A1
-715478400000,64.4,A1
-712800000000,66.8,A1
-710208000000,75.8,A1
-707529600000,73.4,A1
-704851200000,68.6,A1
-702259200000,56.0,A1
-699580800000,36.4,A1
-696988800000,31.8,A1
-694310400000,34.7,A1
-691632000000,35.4,A1
-689126400000,39.2,A1
-686448000000,51.3,A1
-683856000000,59.4,A1
-681177600000,67.2,A1
-678585600000,77.4,A1
-675907200000,74.7,A1
-673228800000,68.0,A1
-670636800000,55.0,A1
-667958400000,41.6,A1
-665366400000,32.9,A1
-662688000000,14.5,A1
-660009600000,29.7,A1
-657590400000,43.5,A1
-654912000000,54.6,A1
-652320000000,62.5,A1
-649641600000,70.5,A1
-647049600000,78.1,A1
-644371200000,74.4,A1
-641692800000,70.5,A1
-639100800000,52.1,A1
-636422400000,48.0,A1
-633830400000,35.0,A1
-631152000000,32.7,A1
-628473600000,41.7,A1
-626054400000,44.7,A1
-623376000000,56.1,A1
-620784000000,59.2,A1
-618105600000,71.3,A1
-615513600000,79.7,A1
-612835200000,76.4,A1
-610156800000,66.2,A1
-607564800000,57.1,A1
-604886400000,46.3,A1
-602294400000,40.4,A1
-599616000000,34.5,A1
-596937600000,39.5,A1
-594518400000,43.2,A1
-591840000000,51.7,A1
-589248000000,60.7,A1
-586569600000,69.0,A1
-583977600000,79.0,A1
-581299200000,74.7,A1
-578620800000,68.6,A1
-576028800000,50.7,A1
-573350400000,41.3,A1
-570758400000,31.3,A1
-568080000000,30.7,A1
-565401600000,37.9,A1
-562896000000,37.5,A1
-560217600000,53.3,A1
-557625600000,62.7,A1
-554947200000,67.2,A1
-552355200000,78.3,A1
-549676800000,78.2,A1
-546998400000,67.8,A1
-544406400000,59.1,A1
-541728000000,37.2,A1
-539136000000,35.7,A1
-536457600000,42.1,A1
-533779200000,38.4,A1
-531360000000,44.2,A1
-528681600000,50.6,A1
-526089600000,52.6,A1
-523411200000,67.2,A1
-520819200000,81.5,A1
-518140800000,75.8,A1
-515462400000,67.7,A1
-512870400000,54.7,A1
-510192000000,46.8,A1
-507600000000,33.8,A1
-504921600000,37.3,A1
-502243200000,44.0,A1
-499824000000,40.8,A1
-497145600000,56.2,A1
-494553600000,65.1,A1
-491875200000,67.6,A1
-489283200000,78.8,A1
-486604800000,72.4,A1
-483926400000,65.7,A1
-481334400000,54.6,A1
-478656000000,44.0,A1
-476064000000,33.3,A1
-473385600000,24.4,A1
-470707200000,34.4,A1
-468288000000,41.5,A1
-465609600000,48.2,A1
-463017600000,56.8,A1
-460339200000,71.7,A1
-457747200000,74.7,A1
-455068800000,77.1,A1
-452390400000,66.3,A1
-449798400000,55.3,A1
-447120000000,40.7,A1
-444528000000,36.0,A1
-441849600000,37.9,A1
-439171200000,33.2,A1
-436665600000,45.5,A1
-433987200000,49.5,A1
-431395200000,60.2,A1
-428716800000,69.8,A1
-426124800000,75.1,A1
-423446400000,72.6,A1
-420768000000,67.1,A1
-418176000000,52.9,A1
-415497600000,36.6,A1
-412905600000,31.3,A1
-410227200000,27.1,A1
-407548800000,41.0,A1
-405129600000,42.9,A1
-402451200000,49.0,A1
-399859200000,56.5,A1
-397180800000,72.9,A1
-394588800000,78.5,A1
-391910400000,75.9,A1
-389232000000,66.9,A1
-386640000000,51.1,A1
-383961600000,38.2,A1
-381369600000,36.3,A1
-378691200000,34.6,A1
-376012800000,43.0,A1
-373593600000,37.2,A1
-370915200000,47.0,A1
-368323200000,63.6,A1
-365644800000,68.5,A1
-363052800000,76.1,A1
-360374400000,78.8,A1
-357696000000,66.3,A1
-355104000000,56.3,A1
-352425600000,41.3,A1
-349833600000,37.0,A1
-347155200000,37.1,A1
-344476800000,35.3,A1
-342057600000,46.5,A1
-339379200000,55.2,A1
-336787200000,57.7,A1
-334108800000,74.1,A1
-331516800000,80.2,A1
-328838400000,76.5,A1
-326160000000,65.1,A1
-323568000000,56.5,A1
-320889600000,42.3,A1
-318297600000,32.6,A1
-315619200000,31.6,A1
-312940800000,36.6,A1
-310435200000,46.8,A1
-307756800000,53.5,A1
-305164800000,60.5,A1
-302486400000,76.0,A1
-299894400000,80.0,A1
-297216000000,75.4,A1
-294537600000,68.6,A1
-291945600000,54.1,A1
-289267200000,42.4,A1
-286675200000,34.2,A1
-283996800000,34.5,A1
-281318400000,41.9,A1
-278899200000,43.2,A1
-276220800000,51.4,A1
-273628800000,59.4,A1
-270950400000,73.8,A1
-268358400000,78.8,A1
-265680000000,76.4,A1
-263001600000,62.1,A1
-260409600000,56.9,A1
-257731200000,38.7,A1
-255139200000,34.6,A1
-252460800000,29.0,A1
-249782400000,37.1,A1
-247363200000,40.7,A1
-244684800000,56.2,A1
-242092800000,57.2,A1
-239414400000,70.0,A1
-236822400000,75.8,A1
-234144000000,74.8,A1
-231465600000,67.7,A1
-228873600000,56.9,A1
-226195200000,43.9,A1
-223603200000,34.5,A1
-220924800000,28.9,A1
-218246400000,46.1,A1
-215827200000,42.1,A1
-213148800000,45.5,A1
-210556800000,61.3,A1
-207878400000,61.6,A1
-205286400000,75.6,A1
-202608000000,74.1,A1
-199929600000,67.3,A1
-197337600000,59.0,A1
-194659200000,43.1,A1
-192067200000,35.9,A1
-189388800000,33.0,A1
-186710400000,34.8,A1
-184204800000,39.4,A1
-181526400000,47.9,A1
-178934400000,57.0,A1
-176256000000,66.4,A1
-173664000000,77.9,A1
-170985600000,74.9,A1
-168307200000,61.9,A1
-165715200000,59.0,A1
-163036800000,37.0,A1
-160444800000,38.2,A1
-157766400000,32.8,A1
-155088000000,37.8,A1
-152668800000,42.0,A1
-149990400000,49.8,A1
-147398400000,54.5,A1
-144720000000,65.0,A1
-142128000000,74.7,A1
-139449600000,71.9,A1
-136771200000,60.1,A1
-134179200000,57.2,A1
-131500800000,45.0,A1
-128908800000,32.5,A1
-126230400000,31.2,A1
-123552000000,35.2,A1
-121132800000,45.0,A1
-118454400000,52.9,A1
-115862400000,65.6,A1
-113184000000,69.7,A1
-110592000000,77.5,A1
-107913600000,75.8,A1
-105235200000,65.1,A1
-102643200000,53.5,A1
-99964800000,45.3,A1
-97372800000,35.1,A1
-94694400000,34.2,A1
-92016000000,39.6,A1
-89596800000,44.9,A1
-86918400000,41.9,A1
-84326400000,59.6,A1
-81648000000,65.4,A1
-79056000000,79.5,A1
-76377600000,78.8,A1
-73699200000,67.5,A1
-71107200000,56.1,A1
-68428800000,47.6,A1
-65836800000,27.2,A1
-63158400000,32.7,A1
-60480000000,43.7,A1
-57974400000,46.1,A1
-55296000000,49.3,A1
-52704000000,61.0,A1
-50025600000,72.4,A1
-47433600000,79.3,A1
-44755200000,70.1,A1
-42076800000,67.3,A1
-39484800000,54.3,A1
-36806400000,43.5,A1
-34214400000,31.9,A1
-31536000000,37.9,A1
-28857600000,36.3,A1
-26438400000,40.9,A1
-23760000000,52.2,A1
-21168000000,65.2,A1
-18489600000,65.5,A1
-15897600000,78.7,A1
-13219200000,78.6,A1
-10540800000,70.7,A1
-7948800000,48.9,A1
-5270400000,42.5,A1
-2678400000,38.3,A1
0,36.5,A1
2678400000,43.2,A1
5097600000,43.9,A1
7776000000,46.1,A1
10368000000,61.7,A1
13046400000,70.6,A1
15638400000,78.2,A1
18316800000,80.5,A1
20995200000,65.0,A1
23587200000,53.2,A1
26265600000,46.7,A1
28857600000,34.1,A1
31536000000,35.7,A1
34214400000,39.2,A1
36633600000,43.5,A1
39312000000,50.2,A1
41904000000,57.1,A1
44582400000,70.7,A1
47174400000,81.6,A1
49852800000,80.5,A1
52531200000,65.8,A1
55123200000,51.1,A1
57801600000,41.8,A1
60393600000,30.6,A1
63072000000,34.3,A1
65750400000,40.7,A1
68256000000,50.7,A1
70934400000,49.5,A1
73526400000,61.2,A1
76204800000,72.1,A1
78796800000,79.0,A1
81475200000,75.6,A1
84153600000,64.1,A1
86745600000,51.7,A1
89424000000,40.3,A1
92016000000,30.3,A1
